Sample,Name,Conc,Ret.time,Ret.index,Type,m/z,Area,Height,Unit,Group,Date.anal,Notes
MYMA_09F0778_0166_5252020_7,c16.1n9,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c16.1n7c,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c16.1n6c,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,i17.0,Ratio of reference ion does not match.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,a17.0,Ratio of reference ion does not match.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c16.2n5,Ratio of reference ion does not match.,0,0,Target,67,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c17.0,0.0528,20.233,0,Target,74,20393,5134,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c17.1n9c,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c16.4n1,Ratio of reference ion does not match.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,i18.0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,a18.0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c18.0,0.8718,23.425,0,Target,74,338138,79400,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c18.1n9c,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c18.1n7c,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c18.1B,No peak is identified.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c18.2n6c,0.9334,25.625,0,Target,67,157940,34109,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c18.2,No peak is identified.,0,0,Target,67,0,0,ng/ul,bsides,2021-04-28,
