sample,batch,FA,proportion,targetFA,type
IRCO_10F0875_0071,batch_1,18:1w7c,0.013206642,standardsplus,core
IRCO_10F0875_0071,batch_1,18:1w5c,0,standardsplus,core
IRCO_10F0875_0071,batch_1,18:1nX,0,standardsplus,core
IRCO_10F0875_0071,batch_1,18:1w6c,0,standardsplus,core
IRCO_10F0875_0071,batch_1,"18:2w7,12c",0,standardsplus,core
IRCO_10F0875_0071,batch_1,18:2w6t,0,standardsplus,core
IRCO_10F0875_0071,batch_1,18:2w6c,0.007222346,standardsplus,core
IRCO_10F0875_0071,batch_1,18:2w3,0,standardsplus,core
IRCO_10F0875_0071,batch_1,18:2,0,standardsplus,core
IRCO_10F0875_0071,batch_1,18:3w6,0.003316288,standardsplus,core
IRCO_10F0875_0071,batch_1,18:3w4,0,standardsplus,core
IRCO_10F0875_0071,batch_1,19:0,0.59274723,standardsplus,core
IRCO_10F0875_0071,batch_1,18:3w3,0.001233369,standardsplus,core
IRCO_10F0875_0071,batch_1,18:4w3c,0.00091508,standardsplus,core
IRCO_10F0875_0071,batch_1,18:4w1,0,standardsplus,core
IRCO_10F0875_0071,batch_1,18:5w3,0,standardsplus,core
IRCO_10F0875_0071,batch_1,20:0,0.000339352,standardsplus,core
IRCO_10F0875_0071,batch_1,20:1w11,0,standardsplus,core
IRCO_10F0875_0071,batch_1,20:1w9,0.000748915,standardsplus,core
IRCO_10F0875_0071,batch_1,20:1w7,0,standardsplus,core
IRCO_10F0875_0071,batch_1,20:1w5,0,standardsplus,core
IRCO_10F0875_0071,batch_1,20:2w6,0.004844542,standardsplus,core
IRCO_10F0875_0071,batch_1,20:3w6,0.017704811,standardsplus,core
IRCO_10F0875_0071,batch_1,20:4w6,0.187338662,standardsplus,core
IRCO_10F0875_0071,batch_1,20:3w3,0,standardsplus,core
IRCO_10F0875_0071,batch_1,20:4w3,0,standardsplus,core
IRCO_10F0875_0071,batch_1,20:5w3,0.429619575,standardsplus,core
IRCO_10F0875_0071,batch_1,21:0,0,standardsplus,core
IRCO_10F0875_0071,batch_1,22:0,0.000669342,standardsplus,core
IRCO_10F0875_0071,batch_1,22:1w9c,0.002127386,standardsplus,core
IRCO_10F0875_0071,batch_1,22:1w7c,0,standardsplus,core
IRCO_10F0875_0071,batch_1,22:2w6,2.34036E-05,standardsplus,core
IRCO_10F0875_0071,batch_1,21:5w3,0,standardsplus,core
IRCO_10F0875_0071,batch_1,23:0,0.000337012,standardsplus,core
IRCO_10F0875_0071,batch_1,22:4w6,0,standardsplus,core
IRCO_10F0875_0071,batch_1,22:5w6,0,standardsplus,core
IRCO_10F0875_0071,batch_1,22:3w6,2.10632E-05,standardsplus,core
IRCO_10F0875_0071,batch_1,22:5w3,0.001577402,standardsplus,core
IRCO_10F0875_0071,batch_1,22:6w3,2.57439E-05,standardsplus,core
IRCO_10F0875_0071,batch_1,24:0,0.001399534,standardsplus,core
IRCO_10F0875_0071,batch_1,24:1,0,standardsplus,core
IRCO_10F0875_0071,batch_1,24:1w9,0.005055174,standardsplus,core
IRCO_10F0875_0071,batch_1,26:0,0,standardsplus,core
IRCO_10F0875_0071,batch_1,28:0,0,standardsplus,core
PLCA_14F1214_0106,batch_1,8:0,7.52007E-05,standardsplus,core
PLCA_14F1214_0106,batch_1,9:0,0.000659997,standardsplus,core
PLCA_14F1214_0106,batch_1,10:0,0.000117667,standardsplus,core
PLCA_14F1214_0106,batch_1,11:0,6.72383E-05,standardsplus,core
PLCA_14F1214_0106,batch_1,11:1,0.000932488,standardsplus,core
PLCA_14F1214_0106,batch_1,12:0,0.006838838,standardsplus,core
PLCA_14F1214_0106,batch_1,13:0,0.000220294,standardsplus,core
PLCA_14F1214_0106,batch_1,13:1,0.00016898,standardsplus,core
PLCA_14F1214_0106,batch_1,i-14:0,0,standardsplus,core
PLCA_14F1214_0106,batch_1,14:0,0.042720177,standardsplus,core
PLCA_14F1214_0106,batch_1,14:1,0,standardsplus,core
PLCA_14F1214_0106,batch_1,14:1w5,0,standardsplus,core
PLCA_14F1214_0106,batch_1,i-15:0,0,standardsplus,core
PLCA_14F1214_0106,batch_1,a-15:0,0,standardsplus,core
PLCA_14F1214_0106,batch_1,15:0,0.002398459,standardsplus,core
PLCA_14F1214_0106,batch_1,15:1w7,0,standardsplus,core
PLCA_14F1214_0106,batch_1,15:1w5,0,standardsplus,core
PLCA_14F1214_0106,batch_1,i-16:0,0,standardsplus,core
PLCA_14F1214_0106,batch_1,16:0,0.22520125,standardsplus,core
PLCA_14F1214_0106,batch_1,16:1w13,0,standardsplus,core
PLCA_14F1214_0106,batch_1,16:1w9,0,standardsplus,core
PLCA_14F1214_0106,batch_1,16:1w7t,0,standardsplus,core
PLCA_14F1214_0106,batch_1,16:1w8c,0,standardsplus,core
PLCA_14F1214_0106,batch_1,16:1w7c,0.010881095,standardsplus,core
PLCA_14F1214_0106,batch_1,16:1w6c,0,standardsplus,core
PLCA_14F1214_0106,batch_1,16:1w5t,0,standardsplus,core
PLCA_14F1214_0106,batch_1,16:1w5c,0,standardsplus,core
PLCA_14F1214_0106,batch_1,16:2w9,0,standardsplus,core
PLCA_14F1214_0106,batch_1,16:2w6,0.001504014,standardsplus,core
PLCA_14F1214_0106,batch_1,i-17:0,0,standardsplus,core
PLCA_14F1214_0106,batch_1,a-17:0,0,standardsplus,core
PLCA_14F1214_0106,batch_1,16:2w5,0,standardsplus,core
PLCA_14F1214_0106,batch_1,16:2w4,0,standardsplus,core
PLCA_14F1214_0106,batch_1,17:0,0.000920102,standardsplus,core
PLCA_14F1214_0106,batch_1,16:3w4,0.003008027,standardsplus,core
PLCA_14F1214_0106,batch_1,16:3w3,0,standardsplus,core
PLCA_14F1214_0106,batch_1,17:1w9c,0,standardsplus,core
PLCA_14F1214_0106,batch_1,17:1w7c,0,standardsplus,core
PLCA_14F1214_0106,batch_1,16:4n6,0,standardsplus,core
PLCA_14F1214_0106,batch_1,16:4w3,0,standardsplus,core
PLCA_14F1214_0106,batch_1,16:4w1,0.002211785,standardsplus,core
PLCA_14F1214_0106,batch_1,17:2,0,standardsplus,core
PLCA_14F1214_0106,batch_1,18:0,0.010735118,standardsplus,core
PLCA_14F1214_0106,batch_1,18:1w9t,0,standardsplus,core
PLCA_14F1214_0106,batch_1,18:1w9c,0.003564512,standardsplus,core
PLCA_14F1214_0106,batch_1,18:1w8c,0,standardsplus,core
PLCA_14F1214_0106,batch_1,18:1w7c,0.004323596,standardsplus,core
PLCA_14F1214_0106,batch_1,18:1w5c,0,standardsplus,core
PLCA_14F1214_0106,batch_1,18:1nX,0,standardsplus,core
PLCA_14F1214_0106,batch_1,18:1w6c,0,standardsplus,core
PLCA_14F1214_0106,batch_1,"18:2w7,12c",0,standardsplus,core
PLCA_14F1214_0106,batch_1,18:2w6t,0,standardsplus,core
PLCA_14F1214_0106,batch_1,18:2w6c,0.002538244,standardsplus,core
PLCA_14F1214_0106,batch_1,18:2w3,0,standardsplus,core
PLCA_14F1214_0106,batch_1,18:2,0,standardsplus,core
PLCA_14F1214_0106,batch_1,18:3w6,0.001968488,standardsplus,core
PLCA_14F1214_0106,batch_1,18:3w4,0,standardsplus,core
PLCA_14F1214_0106,batch_1,19:0,0.262901561,standardsplus,core
PLCA_14F1214_0106,batch_1,18:3w3,0.001051925,standardsplus,core
PLCA_14F1214_0106,batch_1,18:4w3c,0.001887095,standardsplus,core
PLCA_14F1214_0106,batch_1,18:4w1,0,standardsplus,core
PLCA_14F1214_0106,batch_1,18:5w3,0,standardsplus,core
PLCA_14F1214_0106,batch_1,20:0,0.002744382,standardsplus,core
PLCA_14F1214_0106,batch_1,20:1w11,0,standardsplus,core
PLCA_14F1214_0106,batch_1,20:1w9,0.000338845,standardsplus,core
PLCA_14F1214_0106,batch_1,20:1w7,0,standardsplus,core
PLCA_14F1214_0106,batch_1,20:1w5,0,standardsplus,core
PLCA_14F1214_0106,batch_1,20:2w6,0.001588946,standardsplus,core
PLCA_14F1214_0106,batch_1,20:3w6,0.055732547,standardsplus,core
PLCA_14F1214_0106,batch_1,20:4w6,0.134700334,standardsplus,core
PLCA_14F1214_0106,batch_1,20:3w3,0,standardsplus,core
PLCA_14F1214_0106,batch_1,20:4w3,0,standardsplus,core
PLCA_14F1214_0106,batch_1,20:5w3,0.470708452,standardsplus,core
PLCA_14F1214_0106,batch_1,21:0,0,standardsplus,core
PLCA_14F1214_0106,batch_1,22:0,0.007868645,standardsplus,core
PLCA_14F1214_0106,batch_1,22:1w9c,0.000590104,standardsplus,core
PLCA_14F1214_0106,batch_1,22:1w7c,0,standardsplus,core
PLCA_14F1214_0106,batch_1,22:2w6,0,standardsplus,core
PLCA_14F1214_0106,batch_1,21:5w3,0,standardsplus,core
PLCA_14F1214_0106,batch_1,23:0,0,standardsplus,core
PLCA_14F1214_0106,batch_1,22:4w6,3.98121E-05,standardsplus,core
PLCA_14F1214_0106,batch_1,22:5w6,6.10453E-05,standardsplus,core
PLCA_14F1214_0106,batch_1,22:3w6,2.4772E-05,standardsplus,core
PLCA_14F1214_0106,batch_1,22:5w3,0.000783856,standardsplus,core
PLCA_14F1214_0106,batch_1,22:6w3,0.000704232,standardsplus,core
PLCA_14F1214_0106,batch_1,24:0,0.000119436,standardsplus,core
PLCA_14F1214_0106,batch_1,24:1,0,standardsplus,core
PLCA_14F1214_0106,batch_1,24:1w9,0,standardsplus,core
PLCA_14F1214_0106,batch_1,26:0,0,standardsplus,core
PLCA_14F1214_0106,batch_1,28:0,0,standardsplus,core
HIGR_09F0705_0122,batch_2,8:0,9.43024E-05,standardsplus,core
HIGR_09F0705_0122,batch_2,9:0,0.000667309,standardsplus,core
HIGR_09F0705_0122,batch_2,10:0,5.35446E-05,standardsplus,core
HIGR_09F0705_0122,batch_2,11:0,7.27247E-05,standardsplus,core
HIGR_09F0705_0122,batch_2,11:1,9.51016E-05,standardsplus,core
HIGR_09F0705_0122,batch_2,12:0,0.000155839,standardsplus,core
HIGR_09F0705_0122,batch_2,13:0,0,standardsplus,core
HIGR_09F0705_0122,batch_2,13:1,0,standardsplus,core
HIGR_09F0705_0122,batch_2,i-14:0,0,standardsplus,core
HIGR_09F0705_0122,batch_2,14:0,0.041189361,standardsplus,core
HIGR_09F0705_0122,batch_2,14:1,0.003355726,standardsplus,core
HIGR_09F0705_0122,batch_2,14:1w5,0,standardsplus,core
HIGR_09F0705_0122,batch_2,i-15:0,0,standardsplus,core
HIGR_09F0705_0122,batch_2,a-15:0,0,standardsplus,core
HIGR_09F0705_0122,batch_2,15:0,0.003300583,standardsplus,core
HIGR_09F0705_0122,batch_2,15:1w7,0,standardsplus,core
HIGR_09F0705_0122,batch_2,15:1w5,0,standardsplus,core
HIGR_09F0705_0122,batch_2,i-16:0,0,standardsplus,core
HIGR_09F0705_0122,batch_2,16:0,0.128529346,standardsplus,core
HIGR_09F0705_0122,batch_2,16:1w13,0,standardsplus,core
HIGR_09F0705_0122,batch_2,16:1w9,0,standardsplus,core
HIGR_09F0705_0122,batch_2,16:1w7t,0,standardsplus,core
HIGR_09F0705_0122,batch_2,16:1w8c,0,standardsplus,core
HIGR_09F0705_0122,batch_2,16:1w7c,0.022464744,standardsplus,core
HIGR_09F0705_0122,batch_2,16:1w6c,0,standardsplus,core
HIGR_09F0705_0122,batch_2,16:1w5t,0,standardsplus,core
HIGR_09F0705_0122,batch_2,16:1w5c,0,standardsplus,core
HIGR_09F0705_0122,batch_2,16:2w6,0.003436443,standardsplus,core
HIGR_09F0705_0122,batch_2,i-17:0,0,standardsplus,core
HIGR_09F0705_0122,batch_2,a-17:0,0,standardsplus,core
HIGR_09F0705_0122,batch_2,16:2w5,0,standardsplus,core
HIGR_09F0705_0122,batch_2,16:2w4,0,standardsplus,core
HIGR_09F0705_0122,batch_2,17:0,0.001517629,standardsplus,core
HIGR_09F0705_0122,batch_2,16:3w4,0.001198759,standardsplus,core
HIGR_09F0705_0122,batch_2,16:3w3,0,standardsplus,core
HIGR_09F0705_0122,batch_2,17:1w9c,0,standardsplus,core
HIGR_09F0705_0122,batch_2,17:1w7c,0,standardsplus,core
HIGR_09F0705_0122,batch_2,16:4w3,0,standardsplus,core
HIGR_09F0705_0122,batch_2,16:4w1,0.003116774,standardsplus,core
