sample,batch,FA,proportion,notes
LAAN_14F1209_0244,batch_11,20:2w6,0.00100416441327391,PUFA16
LAAN_14F1209_0244,batch_11,20:3n7,0,PUFA16
LAAN_14F1209_0244,batch_11,20:3w6,0.000481998918371475,PUFA16
LAAN_14F1209_0244,batch_11,20:4w6,0.0234816675441151,PUFA16
LAAN_14F1209_0244,batch_11,20:3w3,0.00141874086389699,PUFA16
LAAN_14F1209_0244,batch_11,20:4,0,PUFA16
LAAN_14F1209_0244,batch_11,20:4w3,0,PUFA16
LAAN_14F1209_0244,batch_11,20:5w3,0.144839240450038,PUFA16
LAAN_14F1209_0244,batch_11,21:0,0,PUFA16
LAAN_14F1209_0244,batch_11,22:0,0,PUFA16
LAAN_14F1209_0244,batch_11,22:1w9c,0,PUFA16
LAAN_14F1209_0244,batch_11,22:1w7c,0,PUFA16
LAAN_14F1209_0244,batch_11,22:2w6,0,PUFA16
LAAN_14F1209_0244,batch_11,21:5w3,0,PUFA16
LAAN_14F1209_0244,batch_11,23:0,0,PUFA16
LAAN_14F1209_0244,batch_11,22:4w6,0.00105006907216643,PUFA16
LAAN_14F1209_0244,batch_11,22:5w6,0.000747385227593864,PUFA16
LAAN_14F1209_0244,batch_11,22:3w6,5.02082206636953E-05,PUFA16
LAAN_14F1209_0244,batch_11,22:6w4,0,PUFA16
LAAN_14F1209_0244,batch_11,22:5w3,0.00220055458566025,PUFA16
LAAN_14F1209_0244,batch_11,22:6w3,0.00309282639288363,PUFA16
LAAN_14F1209_0244,batch_11,24:0,0,PUFA16
LAAN_14F1209_0244,batch_11,24:1,0,PUFA16
LAAN_14F1209_0244,batch_11,24:1w9,0,PUFA16
LAAN_14F1209_0244,batch_11,24:1w7,0,PUFA16
LAAN_14F1209_0244,batch_11,26:0,0,PUFA16
LAAN_14F1209_0244,batch_11,26:4w2,0,PUFA16
LAAN_14F1209_0244,batch_11,27:0,0,PUFA16
LAAN_14F1209_0244,batch_11,28:0,0,PUFA16
LAAN_14F1209_0244,batch_11,29:0,0,PUFA16
GECO_12F1079_0229,batch_11,8:0,0.000140254525053887,PUFA16
GECO_12F1079_0229,batch_11,9:0,0.00487938110845366,PUFA16
GECO_12F1079_0229,batch_11,10:0,0.000364169643999567,PUFA16
GECO_12F1079_0229,batch_11,11:0,0.000314957529945571,PUFA16
GECO_12F1079_0229,batch_11,11:1,3.44484798377969E-05,PUFA16
GECO_12F1079_0229,batch_11,12:0,0.00195372092794362,PUFA16
GECO_12F1079_0229,batch_11,13:0,0.000268206021594276,PUFA16
GECO_12F1079_0229,batch_11,13:1,0,PUFA16
GECO_12F1079_0229,batch_11,i-14:0,0,PUFA16
GECO_12F1079_0229,batch_11,14:0,0.0330090255017175,PUFA16
GECO_12F1079_0229,batch_11,14:1,0.00432082361394081,PUFA16
GECO_12F1079_0229,batch_11,14:1w5,0,PUFA16
GECO_12F1079_0229,batch_11,i-15:0,0,PUFA16
GECO_12F1079_0229,batch_11,a-15:0,0,PUFA16
GECO_12F1079_0229,batch_11,15:0,0.00352850857767148,PUFA16
GECO_12F1079_0229,batch_11,15:1w7,0,PUFA16
GECO_12F1079_0229,batch_11,15:1w5,0,PUFA16
GECO_12F1079_0229,batch_11,i-16:0,0,PUFA16
GECO_12F1079_0229,batch_11,16:0,0.253794253993563,PUFA16
GECO_12F1079_0229,batch_11,16:1w13,0,PUFA16
GECO_12F1079_0229,batch_11,16:1w9,0,PUFA16
GECO_12F1079_0229,batch_11,16:1w7t,0,PUFA16
GECO_12F1079_0229,batch_11,16:1w8c,0,PUFA16
GECO_12F1079_0229,batch_11,16:1w7c,0.0544778102577731,PUFA16
GECO_12F1079_0229,batch_11,16:1w6c,0,PUFA16
GECO_12F1079_0229,batch_11,16:1w5t,0,PUFA16
GECO_12F1079_0229,batch_11,16:1w5c,0,PUFA16
GECO_12F1079_0229,batch_11,16:2w6,0,PUFA16
GECO_12F1079_0229,batch_11,14:4w3,0,PUFA16
GECO_12F1079_0229,batch_11,i-17:0,0,PUFA16
GECO_12F1079_0229,batch_11,a-17:0,0,PUFA16
GECO_12F1079_0229,batch_11,16:2w5,0,PUFA16
GECO_12F1079_0229,batch_11,16:2w4,0.0032873692188069,PUFA16
GECO_12F1079_0229,batch_11,17:0,0.00077016958494503,PUFA16
GECO_12F1079_0229,batch_11,16:3w4,0.00460379326975128,PUFA16
GECO_12F1079_0229,batch_11,16:3w3,0.00451275085875139,PUFA16
GECO_12F1079_0229,batch_11,17:1w9c,0,PUFA16
GECO_12F1079_0229,batch_11,17:1w7c,0,PUFA16
GECO_12F1079_0229,batch_11,16:4w3,0.000349406009783368,PUFA16
GECO_12F1079_0229,batch_11,16:4w1,0.00178639974016004,PUFA16
GECO_12F1079_0229,batch_11,17:2,0,PUFA16
GECO_12F1079_0229,batch_11,18:0,0.0266311355203197,PUFA16
GECO_12F1079_0229,batch_11,18:1w9t,0,PUFA16
GECO_12F1079_0229,batch_11,18:1w9c,0.0287866261158847,PUFA16
GECO_12F1079_0229,batch_11,18:1w8c,0,PUFA16
GECO_12F1079_0229,batch_11,18:1w7c,0.0157577189200894,PUFA16
GECO_12F1079_0229,batch_11,18:1w5c,0,PUFA16
GECO_12F1079_0229,batch_11,18:1w6c,0,PUFA16
GECO_12F1079_0229,batch_11,"18:2w7,12c",0,PUFA16
GECO_12F1079_0229,batch_11,18:2w6t,0,PUFA16
GECO_12F1079_0229,batch_11,18:2w6c,0.0220765543646224,PUFA16
GECO_12F1079_0229,batch_11,18:2w3,0,PUFA16
GECO_12F1079_0229,batch_11,18:2,0,PUFA16
GECO_12F1079_0229,batch_11,18:3w6,0.00162153915807915,PUFA16
GECO_12F1079_0229,batch_11,18:3w4,0,PUFA16
GECO_12F1079_0229,batch_11,19:0,0.442867196189014,PUFA16
GECO_12F1079_0229,batch_11,18:3w3,0,PUFA16
GECO_12F1079_0229,batch_11,18:3w1,0,PUFA16
GECO_12F1079_0229,batch_11,18:4w3c,0.000930108955620516,PUFA16
GECO_12F1079_0229,batch_11,18:4w1,0,PUFA16
GECO_12F1079_0229,batch_11,18:5w3,0,PUFA16
GECO_12F1079_0229,batch_11,20:0,0,PUFA16
GECO_12F1079_0229,batch_11,20:1w11,0,PUFA16
GECO_12F1079_0229,batch_11,20:1w9,0.000829224121809825,PUFA16
GECO_12F1079_0229,batch_11,20:1w7,0,PUFA16
GECO_12F1079_0229,batch_11,20:1w5,0,PUFA16
GECO_12F1079_0229,batch_11,20:2w6,0.00113926044035,PUFA16
GECO_12F1079_0229,batch_11,20:3n7,0,PUFA16
GECO_12F1079_0229,batch_11,20:3w6,0.00150343008434956,PUFA16
GECO_12F1079_0229,batch_11,20:4w6,0.289635436659088,PUFA16
GECO_12F1079_0229,batch_11,20:3w3,0,PUFA16
GECO_12F1079_0229,batch_11,20:4,0,PUFA16
GECO_12F1079_0229,batch_11,20:4w3,0,PUFA16
GECO_12F1079_0229,batch_11,20:5w3,0.235521796045315,PUFA16
GECO_12F1079_0229,batch_11,21:0,0,PUFA16
GECO_12F1079_0229,batch_11,22:0,0,PUFA16
GECO_12F1079_0229,batch_11,22:1w9c,0,PUFA16
GECO_12F1079_0229,batch_11,22:1w7c,0,PUFA16
GECO_12F1079_0229,batch_11,22:2w6,0,PUFA16
GECO_12F1079_0229,batch_11,21:5w3,0,PUFA16
GECO_12F1079_0229,batch_11,23:0,0,PUFA16
GECO_12F1079_0229,batch_11,22:4w6,0,PUFA16
GECO_12F1079_0229,batch_11,22:5w6,0,PUFA16
GECO_12F1079_0229,batch_11,22:3w6,0,PUFA16
GECO_12F1079_0229,batch_11,22:6w4,0,PUFA16
GECO_12F1079_0229,batch_11,22:5w3,0,PUFA16
GECO_12F1079_0229,batch_11,22:6w3,0.00317172075078001,PUFA16
GECO_12F1079_0229,batch_11,24:0,0,PUFA16
GECO_12F1079_0229,batch_11,24:1,0,PUFA16
GECO_12F1079_0229,batch_11,24:1w9,0,PUFA16
GECO_12F1079_0229,batch_11,24:1w7,0,PUFA16
GECO_12F1079_0229,batch_11,26:0,0,PUFA16
GECO_12F1079_0229,batch_11,26:4w2,0,PUFA16
GECO_12F1079_0229,batch_11,27:0,0,PUFA16
GECO_12F1079_0229,batch_11,28:0,0,PUFA16
GECO_12F1079_0229,batch_11,29:0,0,PUFA16
PAPL_12F1081_0233,batch_11,8:0,0.000112844450805324,PUFA16
PAPL_12F1081_0233,batch_11,9:0,0.00230367817863552,PUFA16
PAPL_12F1081_0233,batch_11,10:0,0.000660552882762873,PUFA16
PAPL_12F1081_0233,batch_11,11:0,0.000305505708277829,PUFA16
PAPL_12F1081_0233,batch_11,11:1,0.00080642497770634,PUFA16
PAPL_12F1081_0233,batch_11,12:0,0.0184982330210386,PUFA16
