Data Filename,Sample Type,FA,Ret Time,Area,Height,Conc,,,Area %,Height %,,Notes
PHAN_02F0095_0051_342020_8.qgd,Unknown,11:1,10.029,1239,500,0.0054,-----,-----,10.8087,7.5438,1,
PHAN_03F0175_0052_342020_9.qgd,Unknown,11:1,10.035,1815,763,0.0079,-----,-----,13.3006,9.2205,1,
PHAN_04F0230_0053_342020_25.qgd,Unknown,11:1,10.034,1575,523,0.0069,-----,-----,29.5442,18.1408,1,
PLCA_09F0719_0108_342020_19.qgd,Unknown,11:1,10.038,1787,830,0.0078,-----,-----,26.7235,22.659,1,
PLCA_14F1214_0106_342020_14.qgd,Unknown,11:1,10.051,24199,13961,0.1054,-----,-----,46.1989,45.3972,1,
PLCA_15F1397_0107_342020_15.qgd,Unknown,11:1,10.032,1592,651,0.0069,-----,-----,16.2981,12.6432,1,
DEME_03F0154_0033_342020_7.qgd,Unknown,12:0,10.584,18106,11872,0.028,-----,-----,83.5071,85.3548,1,
DEME_04F0245_0034_342020_27.qgd,Unknown,12:0,10.588,24124,14366,0.0373,-----,-----,81.07,82.2512,1,
DEME_12F1165_0090_342020_21.qgd,Unknown,12:0,10.589,17987,10859,0.0278,-----,-----,86.2644,86.8651,1,
DEME_13F1242_0087_342020_22.qgd,Unknown,12:0,10.587,16608,9666,0.0257,-----,-----,79.506,83.2056,1,
DEME_14F1312_0088_342020_12.qgd,Unknown,12:0,10.589,24347,14053,0.0376,-----,-----,83.4659,86.3684,1,
DEME_15F1416_0089_342020_13.qgd,Unknown,12:0,10.589,22946,14393,0.0355,-----,-----,86.1336,88.4363,1,
HIGR_07F0558_0050_342020_26.qgd,Unknown,12:0,10.586,14955,9355,0.0231,-----,-----,86.3652,87.0881,1,
HIGR_11F0992_0124_342020_18.qgd,Unknown,12:0,10.59,11579,7703,0.0179,-----,-----,78.8921,85.4275,1,
HIGR_12F1091_0125_342020_16.qgd,Unknown,12:0,10.59,12117,7498,0.0187,-----,-----,71.605,74.8901,1,
IRCO_08F0676_0069_342020_10.qgd,Unknown,12:0,10.586,18304,11325,0.0283,-----,-----,93.4593,94.7461,1,
IRCO_09F0720_0070_342020_11.qgd,Unknown,12:0,10.588,10984,6387,0.017,-----,-----,91.2899,92.8478,1,
IRCO_10F0875_0071_342020_23.qgd,Unknown,12:0,10.588,474507,310857,0.7336,-----,-----,99.3193,99.4596,1,
IRCO_15F1424_0105_342020_20.qgd,Unknown,12:0,10.589,18366,12058,0.0284,-----,-----,89.6777,94.159,1,
PHAN_02F0095_0051_342020_8.qgd,Unknown,12:0,10.585,35590,22450,0.055,-----,-----,91.9258,92.9915,1,
PHAN_03F0175_0052_342020_9.qgd,Unknown,12:0,10.587,48164,29972,0.0745,-----,-----,94.1181,95.3217,1,
PHAN_04F0230_0053_342020_25.qgd,Unknown,12:0,10.585,25181,16159,0.0389,-----,-----,91.5639,92.9961,1,
PLCA_09F0719_0108_342020_19.qgd,Unknown,12:0,10.59,462506,296267,0.715,-----,-----,99.7034,99.7455,1,
PLCA_14F1214_0106_342020_14.qgd,Unknown,12:0,10.592,500036,317513,0.773,-----,-----,93.6937,95.5734,1,
PLCA_15F1397_0107_342020_15.qgd,Unknown,12:0,10.59,426060,279490,0.6587,-----,-----,98.9029,99.0492,1,
DEME_03F0154_0033_342020_7.qgd,Unknown,13:0,11.793,4533,2577,0.0073,-----,-----,100,100,1,
DEME_04F0245_0034_342020_27.qgd,Unknown,13:0,11.793,3303,2196,0.0053,-----,-----,100,100,1,
DEME_12F1165_0090_342020_21.qgd,Unknown,13:0,11.803,2071,1147,0.0033,-----,-----,100,100,1,
DEME_13F1242_0087_342020_22.qgd,Unknown,13:0,11.795,5964,3501,0.0096,-----,-----,100,100,1,
