,C12:0,C12:0,C14:0,C14:0,C14:1w5,C14:1w5,C15:0,C15:0,C16:0,C16:0,C16:1w7c,C16:1w7c,C16:2w6,C16:2w6,C16:2w6,C16:2w6,C17:0,C17:0,C16:3n4,C16:3n4,C16:3n3,C16:3n3,C16:4n3,C16:4n3,C16:4w1,C16:4w1,C18:0,C18:0,C18:1w9c,C18:1w9c,C18:1w7c,C18:1w7c,C18:1n,C18:1n,C18:2w6c,C18:2w6c,C18:3w6,C18:3w6,C19:0,C19:0,C18:3w3,C18:3w3,C18:4w3,C18:4w3,C18:5w3,C18:5w3,C20:0,C20:0,C20:4w6,C20:4w6,C20:4w3,C20:4w3,C20:5w3,C20:5w3,C22:0,C22:0,C22:5w3,C22:5w3,C22:6w3,C22:6w3
data filename,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc
IRCO_15F1422_0096_3232020_13.qgd,"24,593",0.04,"440,990",1.14,-----,-----,"56,796",0.25,"6,246,854",16.39,"70,095",0.55,-----,-----,"1,500",0.01,"63,725",0.31,"2,657",0.01,-----,-----,-----,-----,"1,119",0.01,"2,468,914",7.09,"362,431",2.76,"85,376",0.64,-----,-----,"135,607",1.1,"36,716",0.5,"11,030,732",28.68,"24,946",0.26,"36,536",0.2,,,"26,452",0.41,"659,226",4.66,"7,754",0.05,"3,698,565",22.83,"8,584",0.09,"5,283",0.43,-----,-----
IRCO_15F1423_0099_3232020_14.qgd,"19,492",0.03,"268,627",0.72,-----,-----,"25,560",0.17,"3,276,331",8.66,"56,247",0.45,-----,-----,469,0,"10,578",0.16,114,0,-----,-----,-----,-----,-----,-----,"91,967",0.5,"105,777",1.02,"44,802",0.4,-----,-----,"42,646",0.56,"11,418",0.33,"10,996,057",28.59,"10,387",0.18,"11,419",0.06,,,"4,157",0.34,"368,619",2.86,-----,-----,"1,824,442",11.45,"1,168",0.07,"1,886",0.4,-----,-----
PLCA_08F0619_0115_3232020_15.qgd,"210,425",0.5,"1,717,574",4.23,-----,-----,"113,651",0.39,"8,926,951",23.37,"378,099",2.76,-----,-----,"50,896",0.3,"53,389",0.28,"111,760",0.6,-----,-----,-----,-----,"88,814",0.48,"778,679",2.4,"72,638",0.79,"59,839",0.49,-----,-----,"61,888",0.67,"31,741",0.47,"10,913,128",28.38,"36,617",0.32,"120,079",0.65,,,"80,288",0.56,"2,372,583",15.31,"43,742",0.27,"6,752,688",41.36,"113,757",0.47,"32,120",0.71,"522,348",6.03
PLCA_09F0735_0116_3232020_19.qgd,"350,312",0.84,"2,514,717",6.16,-----,-----,"148,343",0.48,"11,978,321",31.31,"842,474",6.09,"27,159",0.16,"156,742",0.92,"44,513",0.25,"228,339",1.23,-----,-----,-----,-----,"369,175",1.99,"522,499",1.69,"196,951",1.64,"104,244",0.75,-----,-----,"281,207",1.96,"96,911",0.91,"12,065,965",31.36,"420,524",2.39,"556,655",3,,,"112,619",0.65,"3,391,151",21.63,"39,272",0.24,"10,038,783",61.3,"222,754",0.87,"11,113",0.49,"63,708",1.37
PLCA_10F0855_0078_3232020_11.qgd,"303,674",0.73,"1,826,921",4.5,-----,-----,"98,875",0.35,"9,619,633",25.17,"143,247",1.08,"5,153",0.03,"27,709",0.16,"35,915",0.23,"38,413",0.21,-----,-----,-----,-----,"65,743",0.35,"468,809",1.54,"81,854",0.85,"70,629",0.55,-----,-----,"103,917",0.92,"33,728",0.48,"11,674,169",30.35,"106,912",0.7,"151,994",0.82,,,"127,887",0.7,"2,038,099",13.23,"25,920",0.16,"6,385,819",39.13,"184,943",0.73,"6,461",0.44,"13,966",0.87
PLCA_10F0864_0117_3232020_16.qgd,"369,363",0.89,"2,048,376",5.03,-----,-----,"102,912",0.36,"9,937,039",26,"185,360",1.38,"5,241",0.03,"23,719",0.14,"36,858",0.23,"37,081",0.2,-----,-----,-----,-----,"61,671",0.33,"506,263",1.65,"86,984",0.89,"86,575",0.65,-----,-----,"90,867",0.84,"46,318",0.57,"10,948,642",28.47,"40,218",0.34,"96,513",0.52,,,"119,124",0.67,"2,397,430",15.46,"28,022",0.17,"7,759,572",47.47,"101,739",0.43,"9,791",0.48,"17,857",0.91
PLCA_11F0961_0079_3232020_23.qgd,"521,574",1.26,"2,671,143",6.54,-----,-----,"132,917",0.44,"12,588,025",32.9,"105,304",0.8,"2,094",0.01,"12,489",0.07,"49,066",0.27,"24,720",0.13,-----,-----,-----,-----,"21,701",0.12,"787,791",2.43,"53,069",0.66,"65,058",0.52,-----,-----,"61,083",0.67,"51,538",0.6,"11,601,732",30.16,"13,928",0.2,"12,687",0.07,,,"97,596",0.61,"2,544,619",16.37,"49,305",0.3,"9,333,162",57.02,"180,698",0.72,"10,355",0.48,"6,184",0.79
PLCA_12F1093_0080_3232020_22.qgd,"482,372",1.17,"2,526,379",6.19,-----,-----,"148,012",0.48,"12,173,298",31.82,"167,082",1.25,"3,971",0.02,"25,874",0.15,"63,574",0.31,"47,446",0.26,-----,-----,-----,-----,"56,215",0.3,"937,965",2.85,"71,534",0.78,"154,856",1.05,-----,-----,"66,254",0.7,"27,498",0.44,"11,046,780",28.73,"27,584",0.27,"35,593",0.19,,,"120,566",0.68,"2,863,056",18.35,"47,248",0.29,"9,171,656",56.04,"230,760",0.9,"29,902",0.68,"168,499",2.44
Average,"137,911",0.32,"2,810,803",6.88,"18,708",0.16,"88,830",0.33,"7,701,264",20.18,"341,350",2.5,"23,557",0.14,"89,115",0.52,"59,048",0.29,"81,005",0.44,-----,-----,-----,-----,"91,244",0.49,"2,038,653",5.9,"1,832,298",12.76,"64,704",0.52,"80,674",0.47,"928,556",5.76,"81,845",0.81,"11,212,290",29.15,"798,084",4.43,"1,077,637",5.81,,,"468,057",1.68,"3,075,435",19.67,"159,783",0.97,"5,395,656",33.12,"61,727",0.29,"8,722",0.47,"87,550",1.62
%RSD,132.209799,140.115499,191.863443,190.011778,34.407125,26.114207,75.38272,51.285667,55.452338,55.092269,194.949751,191.105297,157.336731,157.425469,182.591389,182.403414,171.85319,96.905225,237.883605,237.85471,-----,-----,-----,-----,199.333433,199.183442,268.043268,256.981221,297.844977,290.917038,59.95161,44.346037,59.736188,60.101484,264.258051,250.118635,161.169899,110.831291,8.972274,8.921528,192.3133,186.93717,186.410545,186.425357,,,296.91398,238.523999,127.895807,124.196488,151.397874,151.077031,60.315411,59.622601,139.1483,108.031436,114.90699,21.735638,184.407851,101.530472
Maximum,"521,574",1.26,"23,678,830",57.47,"26,935",0.21,"281,614",0.82,"16,217,072",42.34,"2,868,483",20.61,"116,463",0.68,"582,564",3.42,"455,935",1.41,"820,688",4.43,-----,-----,-----,-----,"711,952",3.84,"23,786,831",66.25,"23,361,835",159.21,"154,856",1.05,"150,625",0.89,"10,427,769",61.55,"563,194",4.07,"13,673,478",35.52,"5,060,112",27.41,"5,542,385",29.89,,,"5,976,205",17.51,"15,561,479",97.22,"787,622",4.78,"10,682,890",65.21,"230,760",0.9,"32,120",0.71,"522,348",6.03
Minimum,"7,428",0,"112,976",0.34,"11,208",0.11,"15,413",0.14,"1,809,380",4.84,"28,208",0.25,"2,094",0.01,304,0,"5,056",0.14,114,0,-----,-----,-----,-----,"1,119",0.01,"91,967",0.5,"53,069",0.66,"11,268",0.2,"44,188",0.26,"27,102",0.47,"7,297",0.3,"9,233,942",24.04,"3,044",0.14,"1,922",0.01,,,"3,436",0.34,"247,864",2.11,"4,284",0.03,"1,346,975",8.56,540,0.07,"1,636",0.4,193,0.73
Std. Dev.,"182,331.86",0.44837,"5,392,903.95",13.073866,"6,436.97",0.04113,"66,962.09",0.168958,"4,270,530.85",11.116089,"665,461.08",4.770201,"37,063.64",0.216897,"162,717.03",0.955591,"101,475.78",0.285332,"192,696.43",1.039954,-----,-----,-----,-----,"181,880.50",0.980686,"5,464,473.32",15.16332,"5,457,407.73",37.12263,"38,790.96",0.229368,"48,191.57",0.285482,"2,453,784.28",14.411002,"131,909.59",0.894039,"1,005,997.33",2.600923,"1,534,821.36",8.277162,"2,008,829.11",10.833385,,,"1,389,727.33",3.995277,"3,933,352.47",24.430139,"241,908.17",1.466526,"3,254,412.22",19.749655,"85,891.84",0.31029,"10,022.27",0.101692,"161,448.34",1.639717
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C12:0,C12:0,C14:0,C14:0,C14:1w5,C14:1w5,C15:0,C15:0,C16:0,C16:0,C16:1w7c,C16:1w7c,C16:2w6,C16:2w6,C16:2w6,C16:2w6,C17:0,C17:0,C16:3n4,C16:3n4,C16:3n3,C16:3n3,C16:4n3,C16:4n3,C16:4w1,C16:4w1,C18:0,C18:0,C18:1w9c,C18:1w9c,C18:1w7c,C18:1w7c,C18:1n,C18:1n,C18:2w6c,C18:2w6c,C18:3w6,C18:3w6,C19:0,C19:0,C18:3w3,C18:3w3,C18:4w3,C18:4w3,,,C20:0,C20:0,C20:4w6,C20:4w6,C20:4w3,C20:4w3,C20:5w3,C20:5w3,C22:0,C22:0,C22:5w3,C22:5w3,C22:6w3,C22:6w3
batch 6,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,,,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc
BEDI_08F0576_0180_5222020_12.qgd,"14,209",-0.55,"996,420",4.19,-----,-----,"43,574",-0.11,"2,612,385",13.08,"981,953",13.3,"31,434",0.38,"327,327",3.95,-----,-----,"1,565,464",18.33,-----,-----,-----,-----,"51,749",0.61,"256,428",1.15,"23,672",-0.08,"61,328",0.62,"1,227",0.01,"17,074",-0.06,741,-0.06,"6,943,040",33.85,"65,358",0.76,"13,839",0.16,"1,464,104",0,"9,772",0,"213,397",2.73,385,0.01,"833,583",11.21,-----,-----,"8,327",0.25,"254,951",6.36
BEDI_09F0817_0181_5222020_13.qgd,"6,528",-0.59,"1,250,031",5.39,-----,-----,"41,119",-0.12,"3,116,692",15.72,"1,454,596",19.71,"37,649",0.45,"539,943",6.52,-----,-----,"2,910,394",34.07,-----,-----,-----,-----,"5,214",0.06,"102,274",0.33,"11,287",-0.25,"8,647",-0.02,-----,-----,"15,285",-0.08,-----,-----,"6,096,371",29.71,"56,301",0.65,"6,318",0.07,"2,228,313",0,"3,492",-0.03,"75,767",0.88,-----,-----,"534,018",7.17,-----,-----,"1,218",0.08,"269,169",6.7
BEDI_13F1228_0182_5222020_19.qgd,"6,036",-0.59,"1,016,152",4.29,-----,-----,"35,585",-0.15,"2,606,894",13.05,"1,326,863",17.98,"41,446",0.5,"438,514",5.3,-----,-----,"2,084,128",24.4,-----,-----,-----,-----,"9,335",0.11,"126,473",0.46,"15,631",-0.19,"14,209",0.05,-----,-----,"13,355",-0.1,-----,-----,"5,399,734",26.31,"55,183",0.64,"14,990",0.18,"1,761,247",0,"4,582",-0.03,"123,236",1.52,-----,-----,"460,237",6.18,-----,-----,"1,682",0.09,"188,545",4.77
BEDI_14F1216_0179_5222020_20.qgd,"6,486",-0.59,"543,112",2.06,-----,-----,"24,233",-0.2,"1,743,913",8.53,"781,667",10.58,"20,143",0.24,"252,105",3.04,-----,-----,"1,130,226",13.23,-----,-----,-----,-----,"2,240",0.03,"118,279",0.42,"18,363",-0.15,"12,860",0.03,-----,-----,"9,316",-0.15,-----,-----,"5,747,090",28.01,"68,206",0.79,"4,674",0.05,"1,051,976",0,"3,314",-0.03,"64,407",0.73,-----,-----,"285,534",3.82,-----,-----,"1,356",0.08,"102,403",2.7
CAAT_14F1385_0200_5222020_15.qgd,"15,257",-0.55,"342,584",1.11,-----,-----,"90,417",0.12,"4,734,038",24.19,"51,643",0.66,-----,-----,"3,444",0.04,"41,807",0.05,"2,858",0.03,-----,-----,-----,-----,895,0.01,"167,549",0.68,"150,041",1.68,"21,159",0.13,-----,-----,"145,820",1.5,"6,195",0.01,"5,824,818",28.39,"6,652",0.07,-----,-----,,,"3,666",-0.03,"4,288,753",57.49,-----,-----,"707,289",9.51,"1,071",0.01,-----,-----,"4,933",0.36
HIGR_13F1234_0126_5222020_7.qgd,"6,912",-0.59,"1,965,934",8.76,"33,978",0.3,"141,782",0.37,"6,304,157",32.42,"434,357",5.86,"21,823",0.26,"45,431",0.55,"52,826",0.11,"23,668",0.28,-----,-----,-----,-----,"74,399",0.87,"603,752",2.98,"1,185,645",16.08,"14,545",0.05,"18,469",0.22,"794,413",9.33,"67,108",0.86,"8,454,611",41.23,"2,060,877",24.12,"3,376,862",39.53,,,"344,353",1.67,"3,695,645",49.52,"228,150",3.07,"3,426,034",46.13,"7,902",0.05,"807,033",19.44,"11,794",0.52
HIGR_14F1211_0127_5222020_25.qgd,"4,270",-0.6,"1,097,187",4.67,"16,225",0.09,"73,443",0.04,"4,500,266",22.97,"302,412",4.07,"23,856",0.29,"15,178",0.18,"29,122",-0.01,"11,181",0.13,-----,-----,-----,-----,"29,355",0.34,"297,190",1.36,"898,217",12.08,"9,285",-0.01,"15,496",0.19,"270,730",3.01,"42,341",0.51,"6,655,655",32.45,"953,429",11.15,"1,609,599",18.84,,,"454,180",2.22,"2,203,012",29.46,"124,552",1.68,"1,750,478",23.56,"8,545",0.05,"600,380",14.47,-----,-----
HIGR_15F1398_0128_5222020_26.qgd,"6,237",-0.59,"1,647,181",7.26,"62,118",0.62,"102,149",0.18,"5,465,480",28.03,"363,255",4.89,"15,978",0.19,"33,463",0.4,"25,544",-0.03,"17,335",0.2,-----,-----,-----,-----,"71,789",0.84,"357,467",1.68,"957,865",12.91,"14,563",0.05,"18,202",0.22,"652,101",7.61,"41,215",0.5,"7,801,592",38.04,"1,347,320",15.76,"1,798,430",21.05,,,"465,491",2.28,"2,612,616",34.97,"119,661",1.61,"1,945,763",26.19,"9,349",0.06,"954,161",22.97,"18,287",0.68
HIGR_15F1449_0141_5222020_27.qgd,"4,623",-0.6,"948,999",3.97,"9,903",0.02,"74,263",0.04,"4,450,777",22.71,"394,639",5.32,"24,650",0.3,"24,210",0.29,"26,365",-0.03,"11,376",0.13,-----,-----,-----,-----,"31,689",0.37,"263,185",1.18,"1,221,118",16.57,"7,227",-0.03,"14,234",0.17,"418,666",4.79,"48,162",0.59,"6,526,730",31.82,"865,779",10.13,"1,560,339",18.27,,,"239,757",1.15,"2,323,409",31.08,"75,960",1.02,"1,409,802",18.97,"3,745",0.02,"491,731",11.86,-----,-----
MYMA_07F0473_0164_5222020_21.qgd,"6,023",-0.59,"240,293",0.63,-----,-----,"34,869",-0.15,"3,442,490",17.43,"82,236",1.08,"1,828",0.02,"5,673",0.07,"13,956",-0.1,"7,835",0.09,-----,-----,-----,-----,"5,528",0.06,"218,175",0.95,"52,154",0.32,"502,582",5.94,-----,-----,"74,338",0.64,"22,144",0.23,"7,199,022",35.1,"4,157",0.04,"6,269",0.07,,,"3,440",-0.03,"145,033",1.81,"4,504",0.06,"1,827,478",24.59,"4,693",0.03,"2,039",0.1,"2,512",0.3
MYMA_11F0983_0161_5222020_22.qgd,"6,190",-0.59,"298,802",0.9,-----,-----,"40,757",-0.12,"3,971,889",20.2,"78,398",1.03,"1,066",0.01,"1,499",0.02,"10,371",-0.12,"2,375",0.03,-----,-----,-----,-----,-----,-----,"197,288",0.84,"66,077",0.51,"616,455",7.31,-----,-----,"108,807",1.05,"27,205",0.3,"7,467,854",36.41,"13,297",0.15,"8,283",0.1,,,"3,958",-0.03,"188,158",2.39,"2,236",0.03,"1,732,479",23.31,"8,979",0.05,"3,061",0.12,-----,-----
MYMA_14F1218_0162_5222020_10.qgd,"6,217",-0.59,"270,474",0.77,-----,-----,"31,114",-0.17,"3,562,676",18.06,"69,550",0.91,876,0.01,"1,870",0.02,"11,726",-0.11,"4,260",0.05,-----,-----,-----,-----,-----,-----,"288,621",1.32,"58,632",0.41,"518,230",6.13,-----,-----,"97,066",0.91,"20,357",0.21,"7,176,013",34.99,"5,614",0.06,"4,047",0.05,,,"4,852",-0.03,"143,640",1.79,"3,076",0.04,"1,006,720",13.54,"6,147",0.04,"1,560",0.09,-----,-----
MYMA_15F1413_0163_5222020_11.qgd,"5,984",-0.59,"306,135",0.94,-----,-----,"49,617",-0.08,"4,748,609",24.27,"97,505",1.28,"2,187",0.03,"1,291",0.02,"19,231",-0.07,"3,328",0.04,-----,-----,-----,-----,-----,-----,"237,978",1.05,"71,694",0.59,"903,543",10.78,-----,-----,"118,963",1.18,"36,298",0.43,"6,807,516",33.19,"3,141",0.03,"6,320",0.07,,,"4,525",-0.03,"248,893",3.2,"2,883",0.04,"3,353,775",45.15,"6,285",0.04,"2,887",0.12,-----,-----
PHAN_02F0096_0144_5222020_9.qgd,"9,524",-0.58,"445,497",1.6,-----,-----,"83,711",0.09,"4,364,280",22.26,"678,289",9.17,"10,814",0.13,"86,978",1.05,"17,095",-0.08,"152,803",1.79,-----,-----,-----,-----,"162,886",1.91,"326,763",1.52,"182,352",2.13,"90,729",0.97,-----,-----,"135,684",1.38,"17,174",0.16,"5,763,703",28.09,"144,320",1.68,"257,985",3.02,,,"7,849",-0.01,"1,302,039",17.36,"5,150",0.07,"2,354,070",31.69,-----,-----,"14,232",0.39,"65,979",1.82
PHAN_03F0186_0145_5222020_23.qgd,"14,713",-0.55,"491,590",1.81,-----,-----,"171,662",0.52,"7,096,937",36.58,"129,978",1.73,"2,437",0.03,"18,807",0.23,"38,597",0.04,"44,955",0.53,-----,-----,-----,-----,"24,014",0.28,"205,880",0.88,"80,298",0.71,"36,844",0.32,-----,-----,"37,160",0.19,"17,550",0.17,"5,326,836",25.96,"30,587",0.35,"36,495",0.43,,,"2,527",-0.04,"4,515,579",60.54,"1,959",0.03,"3,126,016",42.08,-----,-----,"4,081",0.15,"36,132",1.11
PHAN_09F0709_0142_5222020_24.qgd,"11,759",-0.56,"546,026",2.07,-----,-----,"111,348",0.22,"7,121,158",36.7,"1,322,954",17.93,"12,531",0.15,"89,616",1.08,"19,266",-0.07,"109,898",1.29,-----,-----,-----,-----,"165,931",1.94,"227,053",0.99,"212,508",2.55,"167,259",1.9,-----,-----,"170,077",1.79,"22,725",0.24,"6,029,103",29.39,"27,994",0.32,"87,922",1.03,,,"3,576",-0.03,"1,038,649",13.82,"3,242",0.04,"4,684,923",63.08,"2,528",0.02,"35,560",0.9,"90,389",2.41
PHAN_13F1230_0143_5222020_8.qgd,"27,224",-0.49,"783,275",3.19,-----,-----,"221,326",0.76,"10,034,212",51.97,"189,437",2.53,"3,607",0.04,"27,880",0.34,"61,347",0.16,"68,614",0.8,-----,-----,-----,-----,"22,625",0.26,"391,847",1.86,"128,229",1.38,"24,120",0.17,-----,-----,"48,652",0.33,"18,166",0.18,"6,031,859",29.4,"4,056",0.04,"12,761",0.15,,,"7,657",-0.01,"4,815,851",64.57,-----,-----,"3,287,990",44.27,"3,487",0.02,"2,003",0.1,"18,258",0.68
RHLA_11F1031_0198_5222020_18.qgd,"6,670",-0.59,"256,724",0.71,-----,-----,"37,996",-0.14,"3,563,081",18.06,"68,816",0.9,"1,626",0.02,"1,356",0.02,"14,077",-0.1,"2,486",0.03,-----,-----,-----,-----,"1,030",0.01,"139,473",0.53,"61,762",0.45,"574,374",6.81,-----,-----,"127,613",1.28,"32,321",0.37,"6,816,469",33.23,"4,575",0.04,"8,457",0.1,,,"3,748",-0.03,"221,050",2.83,"6,211",0.08,"3,273,048",44.06,"7,842",0.05,"3,515",0.13,-----,-----
TRAN_11F0994_0199_5222020_14.qgd,"23,991",-0.51,"748,204",3.02,-----,-----,"100,663",0.17,"8,361,979",43.2,"94,007",1.24,"3,678",0.04,"8,301",0.1,"31,091",0,"29,211",0.34,-----,-----,-----,-----,"29,365",0.34,"231,365",1.02,"168,517",1.94,"19,867",0.12,-----,-----,"48,298",0.32,"10,732",0.07,"7,231,849",35.26,"9,711",0.1,"7,304",0.09,,,"4,125",-0.03,"6,006,692",80.58,-----,-----,"2,049,496",27.58,"1,345",0.01,-----,-----,"4,918",0.36
Average,"9,940",0.57,"747,085",3.02,"30,556",0.26,"79,454",0.2,"4,831,680",24.71,"468,556",6.32,"14,313",0.17,"101,205",1.22,"26,452",0.07,"430,652",5.04,-----,-----,-----,-----,"43,003",0.5,"250,371",1.12,"292,845",3.74,"190,412",2.18,"13,526",0.16,"173,864",1.88,"26,902",0.31,"6,594,730",32.15,"301,398",3.52,"490,050",5.74,,,"82,888",0.41,"1,801,359",24.07,"44,459",0.6,"2,002,565",26.95,"5,532",0.03,"172,637",4.2,"82,175",2.21
%RSD,65.401135,5.363501,65.950436,76.945653,76.513401,104.608365,66.901525,89.444839,43.958955,45.042486,102.534832,103.149494,93.87648,94.485407,161.486413,161.480266,58.130081,60.123295,197.811111,197.814599,-----,-----,-----,-----,122.775407,123.112097,46.771953,55.370802,143.183814,154.777629,146.587314,154.203015,52.532838,54.060825,125.957142,139.070812,63.268213,73.901151,12.853676,12.874775,192.087029,192.540342,194.327282,194.322616,,,194.718025,193.704642,109.608197,110.240287,161.780932,161.755848,61.994302,62.04146,52.690875,49.499553,186.517477,184.327045,116.719507,104.033473
Maximum,"27,224",0.6,"1,965,934",8.76,"62,118",0.62,"221,326",0.76,"10,034,212",51.97,"1,454,596",19.71,"41,446",0.5,"539,943",6.52,"61,347",0.16,"2,910,394",34.07,-----,-----,-----,-----,"165,931",1.94,"603,752",2.98,"1,221,118",16.57,"903,543",10.78,"18,469",0.22,"794,413",9.33,"67,108",0.86,"8,454,611",41.23,"2,060,877",24.12,"3,376,862",39.53,,,"465,491",2.28,"6,006,692",80.58,"228,150",3.07,"4,684,923",63.08,"9,349",0.06,"954,161",22.97,"269,169",6.7
Minimum,"4,270",0.49,"240,293",0.63,"9,903",0.02,"24,233",0.04,"1,743,913",8.53,"51,643",0.66,876,0.01,"1,291",0.02,"10,371",0,"2,375",0.03,-----,-----,-----,-----,895,0.01,"102,274",0.33,"11,287",0.08,"7,227",0.01,"1,227",0.01,"9,316",0.06,741,0.01,"5,326,836",25.96,"3,141",0.03,"4,047",0.05,,,"2,527",0,"64,407",0.73,385,0.01,"285,534",3.82,"1,071",0.01,"1,218",0.08,"2,512",0.3
Std. Dev.,"6,500.63",0.030741,"492,705.99",2.322139,"23,379.43",0.269367,"53,156.01",0.176536,"2,123,955.90",11.128576,"480,432.62",6.523934,"13,436.28",0.1622,"163,431.56",1.973459,"15,376.68",0.044717,"851,878.23",9.972979,-----,-----,-----,-----,"52,796.80",0.618638,"117,103.19",0.617822,"419,307.17",5.782166,"279,119.68",3.363249,"7,105.38",0.087579,"218,994.26",2.613067,"17,020.49",0.22586,"847,665.22",4.139105,"578,945.96",6.77742,"952,300.20",11.147641,,,"161,397.06",0.786033,"1,974,437.41",26.531356,"71,926.43",0.968047,"1,241,476.13",16.72148,"2,914.94",0.017134,"321,997.85",7.73523,"95,913.81",2.302341
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C12:0,C12:0,C14:0,C14:0,C14:1w5,C14:1w5,C15:0,C15:0,C16:0,C16:0,C16:1w7c,C16:1w7c,C16:2w6,C16:2w6,C16:2w6,C16:2w6,C17:0,C17:0,C16:3n4,C16:3n4,C16:3n3,C16:3n3,C16:4n3,C16:4n3,C16:4w1,C16:4w1,C18:0,C18:0,C18:1w9c,C18:1w9c,C18:1w7c,C18:1w7c,C18:1n,C18:1n,C18:2w6c,C18:2w6c,C18:3w6,C18:3w6,C19:0,C19:0,C18:3w3,C18:3w3,C18:4w3,C18:4w3,,,C20:0,C20:0,C20:4w6,C20:4w6,C20:4w3,C20:4w3,C20:5w3,C20:5w3,C22:0,C22:0,C22:5w3,C22:5w3,C22:6w3,C22:6w3
batch 7,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,,,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc
BEDI_08F0577_0184_5242020_16.qgd,"15,174",-0.05,"1,283,688",5.11,-----,-----,"71,674",0.34,"3,156,177",13.54,"1,311,551",14.94,"39,056",0.37,"480,529",4.56,"12,777",0.15,"2,107,349",19.22,-----,-----,-----,-----,"61,396",0.56,"356,312",1.78,"27,945",0.56,"52,405",0.63,"6,550",0.06,"18,655",0.53,"1,519",0.27,"7,878,925",30.95,"114,493",1.16,"25,022",0.23,"2,081,809",0,"19,286",0.42,"608,058",6.79,"4,887",0.05,"879,795",9.33,-----,-----,"9,466",0.58,"432,115",8.5
BEDI_09F0816_0177_5242020_18.qgd,"58,857",0.12,"1,640,303",6.54,-----,-----,"49,158",0.25,"4,691,322",20.07,"1,875,792",21.35,"47,647",0.45,"825,444",7.83,"5,508",0.12,"3,203,681",29.23,-----,-----,-----,-----,"41,683",0.38,"187,419",1.01,"350,700",4.14,"120,025",1.28,"5,414",0.05,"28,772",0.63,"2,847",0.29,"7,717,433",30.32,"115,859",1.17,"28,647",0.26,"3,055,442",0,"17,559",0.41,"145,564",1.97,"3,441",0.04,"1,313,689",13.74,-----,-----,999,0.43,"406,464",8.04
BEDI_13F1227_0178_5242020_10.qgd,"9,244",-0.08,"1,205,653",4.8,-----,-----,"43,779",0.23,"2,954,995",12.68,"1,614,772",18.39,"44,928",0.43,"512,827",4.87,"6,894",0.12,"2,064,071",18.83,-----,-----,-----,-----,"118,750",1.08,"199,345",1.06,"19,971",0.48,"58,406",0.69,"4,562",0.04,"17,051",0.51,"11,089",0.38,"6,177,029",24.3,"79,383",0.84,"52,614",0.48,"1,768,722",0,"3,066",0.35,"152,741",2.05,"3,545",0.04,"1,245,597",13.05,-----,-----,"12,709",0.64,"264,378",5.53
BEDI_14F1342_0183_5242020_11.qgd,"11,220",-0.07,"1,078,977",4.29,-----,-----,"39,082",0.21,"3,226,926",13.84,"1,364,654",15.55,"32,725",0.31,"717,947",6.81,"3,985",0.11,"2,109,290",19.24,-----,-----,-----,-----,"13,402",0.12,"189,332",1.02,"26,847",0.55,"33,919",0.46,"5,881",0.06,"18,511",0.53,"1,649",0.27,"6,711,988",26.39,"92,828",0.96,"7,479",0.07,"1,872,847",0,"4,453",0.36,"145,896",1.97,-----,-----,"599,202",6.48,-----,-----,"1,955",0.45,"203,126",4.45
CYJA_14F1347_0201_5242020_13.qgd,"5,061",-0.09,"698,865",2.77,-----,-----,"47,101",0.24,"4,376,067",18.73,"38,034",0.48,-----,-----,"32,987",0.31,"31,136",0.23,"3,211",0.03,-----,-----,-----,-----,"2,436",0.02,"181,093",0.98,"715,158",8.17,"1,042",0.14,-----,-----,"565,493",5.72,"32,959",0.62,"6,741,762",26.51,"1,456,223",13.4,"967,659",8.83,,,"37,442",0.5,"2,176,588",23.12,"3,971",0.04,"1,804,706",18.74,"54,192",0.38,"22,012",0.8,-----,-----
DEAP_08F0688_0202_5242020_14.qgd,"9,639",-0.07,"2,855,744",11.4,"18,003",0.21,"76,672",0.36,"6,919,922",29.56,"290,269",3.35,"12,229",0.12,"157,745",1.5,"53,651",0.34,"119,094",1.09,-----,-----,-----,-----,"212,237",1.94,"555,494",2.69,"2,018,946",22.59,"22,719",0.35,"17,517",0.17,"1,699,899",16.48,"169,895",2.15,"6,818,927",26.81,"2,947,282",27,"4,271,988",38.97,,,"459,772",2.28,"6,053,351",63.48,"248,114",2.52,"4,564,018",46.81,"9,406",0.15,-----,-----,"11,384",1.06
