,C12:0,C12:0,C14:0,C14:0,C14:1w5,C14:1w5,C15:0,C15:0,C16:0,C16:0,C16:1w7c,C16:1w7c,C16:2w6,C16:2w6,C16:2w6,C16:2w6,C17:0,C17:0,C16:3n4,C16:3n4,C16:3n3,C16:3n3,C16:4n3,C16:4n3,C16:4w1,C16:4w1,C18:0,C18:0,C18:1w9c,C18:1w9c,C18:1w7c,C18:1w7c,C18:1n,C18:1n,C18:2w6c,C18:2w6c,C18:3w6,C18:3w6,C19:0,C19:0,C18:3w3,C18:3w3,C18:4w3,C18:4w3,C18:5w3,C18:5w3,C20:0,C20:0,C20:4w6,C20:4w6,C20:4w3,C20:4w3,C20:5w3,C20:5w3,C22:0,C22:0,C22:5w3,C22:5w3,C22:6w3,C22:6w3
data filename,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc
ANTSEA_023_TRAN.qgd,"9,854",0.04,"320,927",0.83,-----,-----,"90,118",0.42,"6,994,059",15.35,"36,202",0.3,-----,-----,"1,340",0.01,"39,314",0.32,702,0,,,,,"2,602",0.01,"196,577",0.76,"94,801",0.95,"17,966",0.29,-----,-----,"31,616",0.56,"12,741",0.42,"11,000,028",22.36,"4,056",0.18,"2,226",0.01,,,"4,422",0.37,"3,194,023",15.66,-----,-----,"1,443,643",6.86,-----,-----,-----,-----,-----,-----
ANTSEA_024_TRAN.qgd,"4,509",0.03,"68,462",0.31,-----,-----,"23,050",0.28,"1,531,866",3.63,"40,564",0.33,-----,-----,"2,113",0.01,"10,609",0.26,922,0,,,,,"4,082",0.02,"136,732",0.63,"162,863",1.32,"18,197",0.29,-----,-----,"22,183",0.52,"2,541",0.37,"10,906,348",22.17,"2,185",0.17,"1,178",0,,,"4,440",0.37,"536,828",3.12,-----,-----,"1,025,820",5.01,-----,-----,-----,-----,398,0.93
ANTSEA_025_GISK.qgd,"3,139",0.03,"49,842",0.27,-----,-----,"13,628",0.26,"1,052,242",2.61,"27,940",0.26,-----,-----,"2,515",0.01,"8,161",0.25,"2,008",0.01,,,,,"3,348",0.01,"133,756",0.63,"102,973",0.99,"14,409",0.27,-----,-----,"12,448",0.47,-----,-----,"10,829,934",22.02,"2,492",0.17,"2,051",0.01,,,"3,909",0.36,"346,605",2.22,-----,-----,"501,549",2.69,-----,-----,-----,-----,"2,030",0.94
ANTSEA_026_GISK.qgd,"5,358",0.03,"85,023",0.35,-----,-----,"22,234",0.28,"1,542,727",3.66,"1,105",0.11,-----,-----,-----,-----,"10,316",0.26,212,0,,,,,-----,-----,"127,449",0.61,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,"10,502,208",21.36,-----,-----,-----,-----,,,"3,996",0.36,"2,526",0.59,-----,-----,"1,062",0.47,-----,-----,-----,-----,-----,-----
ANTSEA_027_GISK.qgd,"13,356",0.05,"4,485,364",9.4,-----,-----,"41,364",0.32,"2,286,455",5.25,"209,133",1.24,"6,107",0.03,"102,212",0.46,"19,382",0.28,"56,467",0.22,,,,,"205,716",0.8,"395,853",1.2,"1,021,652",5.98,"20,758",0.3,"51,469",0.23,"830,465",4.17,"55,792",0.63,"10,637,252",21.63,"851,197",3.46,"1,429,129",5.54,,,"240,230",0.91,"3,765,424",18.35,"16,562",0.07,"2,619,115",12.07,-----,-----,-----,-----,"10,064",1
ANTSEA_028_DEAN.qgd,"12,199",0.05,"862,428",1.95,-----,-----,"228,389",0.7,"10,731,429",23.37,"229,688",1.35,"12,596",0.06,"32,695",0.15,"56,671",0.36,"114,591",0.44,,,,,"102,096",0.4,"321,517",1.04,"504,912",3.18,"176,293",1,-----,-----,"491,450",2.64,"60,366",0.66,"11,764,618",23.9,"17,228",0.23,"21,481",0.08,,,"6,270",0.37,"1,556,106",7.93,"1,668",0.01,"6,847,522",30.8,-----,-----,-----,-----,"14,777",1.03
ANTSEA_029_DEAN.qgd,"5,824",0.03,"570,125",1.34,-----,-----,"138,124",0.52,"7,592,203",16.63,"188,874",1.13,"11,280",0.05,"32,775",0.15,"38,869",0.32,"114,946",0.45,,,,,"128,713",0.5,"223,308",0.82,"303,216",2.08,"108,283",0.69,-----,-----,"348,996",2,"30,256",0.51,"9,701,004",19.75,"12,629",0.21,"15,801",0.06,,,"3,996",0.36,"1,106,448",5.8,"2,395",0.01,"4,914,686",22.24,-----,-----,-----,-----,"25,544",1.1
ANTSEA_030_GYAN.qgd,"5,278",0.03,"696,399",1.6,-----,-----,"127,258",0.49,"7,081,382",15.54,"490,794",2.76,"37,739",0.17,"83,117",0.38,"27,676",0.29,"337,356",1.31,,,,,"398,358",1.54,"266,683",0.92,"315,883",2.15,"99,864",0.66,-----,-----,"286,287",1.71,"34,570",0.53,"10,250,771",20.85,"15,424",0.22,"56,485",0.22,,,"4,606",0.37,"907,021",4.86,"6,517",0.03,"4,899,945",22.17,-----,-----,-----,-----,"40,765",1.2
ANTSEA_031_GYAN.qgd,"14,059",0.05,"330,829",0.85,-----,-----,"17,146",0.26,"6,083,984",13.4,"291,570",1.68,"9,821",0.04,"72,993",0.33,"4,729",0.24,"299,104",1.16,,,,,"41,367",0.16,"255,256",0.89,"164,317",1.33,"904,821",4.27,-----,-----,"716,927",3.66,"54,984",0.63,"11,353,209",23.07,"6,342,755",24.74,"266,251",1.03,,,"6,616",0.37,"253,152",1.78,"36,430",0.16,"1,132,556",5.48,-----,-----,"24,129",0.68,"28,980",1.12
ANTSEA_032_GYAN.qgd,"10,558",0.04,"185,541",0.55,-----,-----,"11,634",0.25,"5,801,629",12.79,"99,464",0.64,"8,521",0.04,"8,048",0.04,"6,277",0.25,"13,368",0.05,,,,,"9,540",0.04,"118,157",0.59,"183,361",1.43,"1,201,672",5.6,-----,-----,"673,890",3.46,"77,574",0.74,"11,688,981",23.75,"5,718,995",22.32,"370,685",1.44,,,"5,304",0.37,"226,528",1.65,"46,912",0.21,"1,289,153",6.18,-----,-----,"38,447",0.78,-----,-----
