Sample,C12:0,C14:0,C14:1w5,C15:0,C16:0,C16:1w7c,C16:2w6,C16:2w6,C17:0,C16:3n4,C16:4w1,C18:0,C18:1w9c,C18:1w7c,C18:1n,C18:2w6c,C18:3w6,C19:0,C18:3w3,C18:4w3,C18:5w3,C20:0,C20:4w6,C20:4w3,C20:5w3,C22:0,C22:5w3,C22:6w3
IRCO_10F0906_0075_3102020_23.qgd,337840,342951,-----,45842,4004268,4913,-----,-----,20690,1014,261,241824,68508,77656,-----,54435,20506,9186679,1345,-----,0,3965,1338222,-----,3140578,6328,6438,-----
IRCO_10F0907_0102_3102020_20.qgd,507683,585595,-----,78637,6654727,12118,-----,1530,32431,2383,1932,267992,99273,182197,-----,86807,32023,9993598,3650,-----,0,6199,2402587,-----,4828907,16525,17954,-----
IRCO_11F1061_0103_3102020_14.qgd,14066,332577,-----,31315,4608377,176027,2702,32528,11945,46992,59481,142127,261134,45367,-----,99360,24732,10713420,17103,35669,0,4860,581513,-----,3331783,1280,6631,-----
IRCO_12F1202_0093_3102020_21.qgd,12976,212150,-----,36396,3108217,35402,-----,1148,10645,644,-----,144358,140288,17776,-----,50966,4374,10230842,2776,1826,0,3700,515244,-----,1979446,869,3391,-----
MYMA_07F0472_0056_3102020_9.qgd,15712,488575,-----,72295,6112909,186778,3484,12194,32689,22863,18622,647441,112271,1154819,-----,206179,51819,11185660,12816,21853,0,12434,435883,6212,5222426,9446,7347,-----
PLCA_07F0527_0047_3102020_8.qgd,441674,2403106,-----,148931,11259294,105461,-----,14275,56629,25689,39217,1375905,61619,59871,-----,49555,31012,11163957,3396,25085,0,133577,2597570,18059,8665737,143233,4934,7643
PLCA_08F0601_0046_3102020_26.qgd,199698,1622633,-----,104533,8379914,967225,22585,152156,56048,374395,364065,1244353,60195,97305,4365,66885,27349,10039943,47997,153238,0,82290,1952394,29617,6379338,91966,18193,279306
PLCA_12F1094_0111_3102020_15.qgd,356459,2007096,-----,95035,8708224,105781,-----,12000,35664,12975,42972,736678,88785,78938,-----,70374,27888,11764816,26125,27164,0,75136,2284614,38348,6017022,248727,4008,4705
PLCA_14F1292_0112_3102020_19.qgd,378917,1951215,-----,96078,9269526,146412,-----,11967,41230,18444,21642,521933,73870,59130,-----,70700,45415,10198582,19784,20533,0,97443,2211744,56050,7209815,360303,-----,-----
PLCA_14F1309_0120_3102020_18.qgd,501495,2633381,-----,160250,12328813,114476,-----,13258,57311,14881,10339,583119,59304,90473,-----,89552,49633,10070697,23460,33856,0,96918,3136224,42560,9467899,440551,8065,-----
PLCA_15F1483_0121_3102020_16.qgd,409334,2452845,-----,153404,10801220,142511,-----,18380,50462,34257,35792,757851,194015,72890,-----,160683,47531,10819728,54319,150610,0,202426,2559191,36837,8370124,283474,1094,49953
DEME_05F0329_0039_3112020_7.qgd,19515,7416986,14905,115952,7982231,710955,37243,256173,152670,17604,7367,5807039,6799011,47524,77179,3360569,407790,9606485,2550113,3342590,0,1589308,9180620,389805,5428746,11831,-----,-----
DEME_07F0564_0040_3112020_27.qgd,13087,3261134,7103,77305,5897802,269243,5274,143662,52573,4518,6247,1395845,2577270,26744,41556,1958937,93008,10717212,1957988,2328378,0,900183,3601370,242115,4036913,12144,-----,-----
DEME_07F0565_0063_3112020_24.qgd,6931,2295653,4551,58943,5769352,90894,2639,50654,33519,3368,3778,529393,1630774,16534,33917,1062147,88243,9514445,1576836,2275813,0,370314,2465240,225133,3096907,8212,-----,-----
DEME_08F0678_0057_3112020_9.qgd,10227,3575550,4535,78151,6837606,218252,8798,96571,55077,17555,34591,1115457,2548105,48871,62475,1599619,140495,9871772,1847700,2473892,0,580692,4236322,223395,3435532,8808,-----,-----
DEME_08F0680_0064_3112020_10.qgd,14558,3250111,8074,76785,6128393,173656,7777,96612,45150,34549,49977,783734,2043684,27743,48772,1353203,162399,9517398,2201008,3477416,0,494374,4700929,309555,3959642,8751,-----,-----
DEME_09F0722_0058_3112020_25.qgd,8634,3349807,11145,92278,8463062,1405729,30316,253040,44863,328545,614214,757472,1922168,69570,59825,1330914,126021,11035287,2042143,2601860,0,526380,5095682,294353,5028300,15089,-----,47597
DEME_11F0995_0081_3112020_22.qgd,27448,8762917,31162,149494,9958615,619504,27493,237516,163977,17707,16949,5422118,6924204,62383,99507,3988678,324830,10396070,3148118,3622275,0,2224320,9279805,474876,6270508,23045,-----,-----
DEME_12F1161_0082_3112020_12.qgd,21465,4685107,14417,110949,8109866,382946,12795,145350,90927,19709,34690,2147012,4044923,56580,54588,2306130,190130,10798048,2035722,2181688,0,1457600,6049727,241960,4644471,15644,1227,-----
IRCO_08F0692_0100_3112020_20.qgd,22080,224984,-----,23397,2792404,36752,-----,1094,5847,897,864,184614,93503,28408,-----,50867,7275,9948269,4628,2136,0,6268,514502,-----,1995580,-----,2808,-----
IRCO_09F0739_0101_3112020_14.qgd,16585,186179,-----,29620,2937900,41231,-----,2053,6977,602,748,194494,94377,30852,-----,46366,8159,9103363,7216,2180,0,4265,214164,-----,2068609,-----,3188,-----
IRCO_11F1030_0076_3112020_11.qgd,335904,277462,-----,40868,3202477,16199,-----,1663,15328,2024,5798,193657,46691,63464,-----,35634,13158,9301371,999,1211,0,3737,990335,-----,2023804,-----,5178,-----
