ProjID,SiteID,Type,FAvialNum,Date,IceCoverCat,Transect,Depth.m,genusSpecies,Genus,species,Replicate,Tissue,VialAmount,DissectedBy,LinkedTo,Comments,EnteredBy,kingdom,phylum,class,order,family,DESCRIPTION,LAT_DEG,LAT_MIN,LON_DEG,LON_MIN,LAT_DD,LON_DD,DATE,X,LAT_DD.1,LON_DD.1
07F0470,07,FALSE,0470,2019.05.04,0.6,NA,5-30m,Cnemidocarpa sp.,Cnemidocarpa,sp.,4,pharyngeal basket,0.5ml,Lowe ,NA,,,NA,Chordata,NA,NA,NA,Southern Saffery Islands,66,5.365,65,50.313,-66.08941667,-65.83855,5/4/2019,NA,-66.08941667,-65.83855
07F0471,07,FALSE,0471,2019.05.04,0.6,NA,5-30m,Cnemidocarpa sp.,Cnemidocarpa,sp.,5,pharyngeal basket,0.5ml,Lowe ,NA,,,NA,Chordata,NA,NA,NA,Southern Saffery Islands,66,5.365,65,50.313,-66.08941667,-65.83855,5/4/2019,NA,-66.08941667,-65.83855
07F0472,07,FALSE,0472,2019.05.04,0.6,NA,5-30m,Myriogramme manginii,Myriogramme,mangini,1,thallus,1ml,Galloway,07S030,,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Southern Saffery Islands,66,5.365,65,50.313,-66.08941667,-65.83855,5/4/2019,NA,-66.08941667,-65.83855
07F0473,07,FALSE,0473,2019.05.04,0.6,NA,5-30m,Myriogramme manginii,Myriogramme,mangini,2,thallus,1ml,Lowe ,07S031,,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Southern Saffery Islands,66,5.365,65,50.313,-66.08941667,-65.83855,5/4/2019,NA,-66.08941667,-65.83855
07F0474,07,FALSE,0474,2019.05.04,0.6,NA,5-30m,Nacella concinna,Nacella,concinna,1,foot,1ml,Lowe ,07S013,,,Animalia,Mollusca,Gastropoda,NA,Nacellidae,Southern Saffery Islands,66,5.365,65,50.313,-66.08941667,-65.83855,5/4/2019,NA,-66.08941667,-65.83855
07F0475,07,FALSE,0475,2019.05.04,0.6,NA,5-30m,Nacella concinna,Nacella,concinna,2,foot,1ml,Lowe ,07S014,,,Animalia,Mollusca,Gastropoda,NA,Nacellidae,Southern Saffery Islands,66,5.365,65,50.313,-66.08941667,-65.83855,5/4/2019,NA,-66.08941667,-65.83855
07F0476,07,FALSE,0476,2019.05.04,0.6,NA,5-30m,Nacella concinna,Nacella,concinna,3,foot,1ml,Lowe ,07S015,,,Animalia,Mollusca,Gastropoda,NA,Nacellidae,Southern Saffery Islands,66,5.365,65,50.313,-66.08941667,-65.83855,5/4/2019,NA,-66.08941667,-65.83855
07F0477,07,FALSE,0477,2019.05.04,0.6,NA,5-30m,Nacella concinna,Nacella,concinna,4,foot,1ml,Lowe ,NA,,,Animalia,Mollusca,Gastropoda,NA,Nacellidae,Southern Saffery Islands,66,5.365,65,50.313,-66.08941667,-65.83855,5/4/2019,NA,-66.08941667,-65.83855
07F0478,07,FALSE,0478,2019.05.04,0.6,NA,5-30m,Nacella concinna,Nacella,concinna,5,foot,1ml,Lowe ,NA,,,Animalia,Mollusca,Gastropoda,NA,Nacellidae,Southern Saffery Islands,66,5.365,65,50.313,-66.08941667,-65.83855,5/4/2019,NA,-66.08941667,-65.83855
07F0479,07,FALSE,0479,2019.05.04,0.6,NA,5-30m,Nacella concinna,Nacella,concinna,1,gonad,~0.5ml,Lowe ,see comments,"from 07F0474, female",,Animalia,Mollusca,Gastropoda,NA,Nacellidae,Southern Saffery Islands,66,5.365,65,50.313,-66.08941667,-65.83855,5/4/2019,NA,-66.08941667,-65.83855
07F0480,07,FALSE,0480,2019.05.04,0.6,NA,5-30m,Nacella concinna,Nacella,concinna,2,gonad,~0.5ml,Lowe ,see comments,"from 07F0475, male",,Animalia,Mollusca,Gastropoda,NA,Nacellidae,Southern Saffery Islands,66,5.365,65,50.313,-66.08941667,-65.83855,5/4/2019,NA,-66.08941667,-65.83855
07F0481,07,FALSE,0481,2019.05.04,0.6,NA,5-30m,Nacella concinna,Nacella,concinna,3,gonad,~0.5ml,Lowe ,see comments,female,,Animalia,Mollusca,Gastropoda,NA,Nacellidae,Southern Saffery Islands,66,5.365,65,50.313,-66.08941667,-65.83855,5/4/2019,NA,-66.08941667,-65.83855
07F0482,07,FALSE,0482,2019.05.04,0.6,NA,5-30m,Odontaster validus,Odontaster,validus,1,tube feet,1ml,Lowe,07S016,,,Animalia,Echinodermata,Asteroidea,Valvatida,Odontasteridae,Southern Saffery Islands,66,5.365,65,50.313,-66.08941667,-65.83855,5/4/2019,NA,-66.08941667,-65.83855
07F0483,07,FALSE,0483,2019.05.04,0.6,NA,5-30m,Odontaster validus,Odontaster,validus,2,tube feet,1ml,Lowe,07S017,,,Animalia,Echinodermata,Asteroidea,Valvatida,Odontasteridae,Southern Saffery Islands,66,5.365,65,50.313,-66.08941667,-65.83855,5/4/2019,NA,-66.08941667,-65.83855
07F0484,07,FALSE,0484,2019.05.04,0.6,NA,5-30m,Odontaster validus,Odontaster,validus,3,tube feet,1ml,Lowe,07S018,,,Animalia,Echinodermata,Asteroidea,Valvatida,Odontasteridae,Southern Saffery Islands,66,5.365,65,50.313,-66.08941667,-65.83855,5/4/2019,NA,-66.08941667,-65.83855
07F0485,07,FALSE,0485,2019.05.04,0.6,NA,5-30m,Odontaster validus,Odontaster,validus,4,tube feet,1ml,Lowe,NA,,,Animalia,Echinodermata,Asteroidea,Valvatida,Odontasteridae,Southern Saffery Islands,66,5.365,65,50.313,-66.08941667,-65.83855,5/4/2019,NA,-66.08941667,-65.83855
