sample,batch,FA,proportion
RHLA_11F1031_0198,batch_6,18:0,0.00932643946971725
RHLA_11F1031_0198,batch_6,18:1w9t,0
RHLA_11F1031_0198,batch_6,18:1w9c,0.0108146738371728
RHLA_11F1031_0198,batch_6,18:1w8c,0
RHLA_11F1031_0198,batch_6,18:1w7c,0.0880081865697735
RHLA_11F1031_0198,batch_6,18:1w5c,0
RHLA_11F1031_0198,batch_6,18:1w6c,0
RHLA_11F1031_0198,batch_6,"18:2w7,12c",0
RHLA_11F1031_0198,batch_6,18:2w6t,0
RHLA_11F1031_0198,batch_6,18:2w6c,0.0190294201649353
RHLA_11F1031_0198,batch_6,18:2w3,0
RHLA_11F1031_0198,batch_6,18:2,0
RHLA_11F1031_0198,batch_6,18:3w6,0.0060374671326898
RHLA_11F1031_0198,batch_6,18:3w4,0
RHLA_11F1031_0198,batch_6,19:0,0.410210927123904
RHLA_11F1031_0198,batch_6,18:3w3,0.000858104153352177
RHLA_11F1031_0198,batch_6,18:3w1,0
RHLA_11F1031_0198,batch_6,18:4w3c,0
RHLA_11F1031_0198,batch_6,18:4w1,0
RHLA_11F1031_0198,batch_6,18:5w3,0
RHLA_11F1031_0198,batch_6,20:0,0
RHLA_11F1031_0198,batch_6,20:1w11,0
RHLA_11F1031_0198,batch_6,20:1w9,0
RHLA_11F1031_0198,batch_6,20:1w7,0
RHLA_11F1031_0198,batch_6,20:1w5,0
RHLA_11F1031_0198,batch_6,20:2w6,0.00185581032568254
RHLA_11F1031_0198,batch_6,20:3n7,0
RHLA_11F1031_0198,batch_6,20:3w6,0.0025153978465428
RHLA_11F1031_0198,batch_6,20:4w6,0.037396691304075
RHLA_11F1031_0198,batch_6,20:3w3,0
RHLA_11F1031_0198,batch_6,20:4w3,0
RHLA_11F1031_0198,batch_6,20:5w3,0.564346925105438
RHLA_11F1031_0198,batch_6,21:0,0
RHLA_11F1031_0198,batch_6,22:0,0.000530231521623584
RHLA_11F1031_0198,batch_6,22:1w9c,0
RHLA_11F1031_0198,batch_6,22:1w7c,0
RHLA_11F1031_0198,batch_6,22:2w6,0
RHLA_11F1031_0198,batch_6,21:5w3,0
RHLA_11F1031_0198,batch_6,23:0,0
RHLA_11F1031_0198,batch_6,22:4w6,0
RHLA_11F1031_0198,batch_6,22:5w6,0
RHLA_11F1031_0198,batch_6,22:3w6,0
RHLA_11F1031_0198,batch_6,22:6w4,0
RHLA_11F1031_0198,batch_6,22:5w3,0.000625007204232631
RHLA_11F1031_0198,batch_6,22:6w3,0
RHLA_11F1031_0198,batch_6,24:0,0.000929826291542807
RHLA_11F1031_0198,batch_6,24:1,0
RHLA_11F1031_0198,batch_6,24:1w9,0.0168367719402503
RHLA_11F1031_0198,batch_6,24:1w7,0
RHLA_11F1031_0198,batch_6,26:0,0
RHLA_11F1031_0198,batch_6,26:4w2,0
RHLA_11F1031_0198,batch_6,27:0,0
RHLA_11F1031_0198,batch_6,28:0,0
RHLA_11F1031_0198,batch_6,29:0,0
TRAN_11F0994_0199,batch_6,8:0,5.59688938722865E-05
TRAN_11F0994_0199,batch_6,9:0,0.000467245934237179
TRAN_11F0994_0199,batch_6,10:0,5.47111659201003E-05
TRAN_11F0994_0199,batch_6,11:0,0.000152813946190625
TRAN_11F0994_0199,batch_6,11:1,0.000112566651720666
TRAN_11F0994_0199,batch_6,12:0,0.000644585575495435
TRAN_11F0994_0199,batch_6,13:0,0.000180483961138722
TRAN_11F0994_0199,batch_6,13:1,0
TRAN_11F0994_0199,batch_6,i-14:0,0
TRAN_11F0994_0199,batch_6,14:0,0.0207669750825227
